Gene;Ratio;p_value;FDR;hits
FBXO27;1,014431121;0,998765778;0,998765778;FALSE
KLHL38;1,083588769;0,996353436;0,997752809;FALSE
8-Mar;1,13295545;0,995063114;0,997752809;FALSE
DCAF17;1,350782328;0,994361851;0,997752809;FALSE
CDC20;1,017319069;0,987826087;0,993399154;FALSE
RNF167;0,979319593;0,985834502;0,99279661;FALSE
RASD2;1,073776339;0,984263675;0,99261669;FALSE
RPL37;0,741436791;0,984263675;0,99261669;FALSE
KLHL23;0,993194323;0,984123422;0,99261669;FALSE
WDR5B;1,00461309;0,982159888;0,99261669;FALSE
NAE1;0,837053314;0,981262272;0,99261669;FALSE
KLHL24;0,957846258;0,98056101;0,99261669;FALSE
FZR1;1,030051597;0,979242637;0,99261669;FALSE
TRIM3;0,975065646;0,978429173;0,99261669;FALSE
OTUD7A;0,870119166;0,977419355;0,99261669;FALSE
CSH1;0,857725268;0,976661992;0,99261669;FALSE
TRIM37;1,20165892;0,976661992;0,99261669;FALSE
HECW1;0,904151781;0,975736325;0,99261669;FALSE
TRIM56;1,109833863;0,97371669;0,99261669;FALSE
TRIM21;1,211445531;0,973632539;0,99261669;FALSE
KBTBD11;1,325478753;0,972791024;0,99261669;FALSE
KLHL5;0,935609381;0,970995792;0,99261669;FALSE
RNF19B;1,141090901;0,969817672;0,99261669;FALSE
TRIM9;0,961591401;0,968920056;0,99261669;FALSE
KLHL25;0,857036206;0,968835905;0,99261669;FALSE
TRIML2;1,237856077;0,968835905;0,99261669;FALSE
UBE2V1;0,920058499;0,967573633;0,99261669;FALSE
RNF170;1,017133972;0,966535764;0,99261669;FALSE
MYSM1;0,931566528;0,963842917;0,99261669;FALSE
EED;1,100857491;0,963814867;0,99261669;FALSE
RNF38;0,901413904;0,961206171;0,99261669;FALSE
ASB5;1,103775768;0,958625526;0,99261669;FALSE
BMI1;1,026972793;0,958625526;0,99261669;FALSE
KLHL36;0,901297788;0,958625526;0,99261669;FALSE
TRIM62;0,836997892;0,958373072;0,99261669;FALSE
HOXB4;1,105538207;0,95542777;0,99261669;FALSE
BRWD1;1,066227759;0,955035063;0,99261669;FALSE
ZSWIM2;1,066193622;0,954109397;0,99261669;FALSE
RNF144B;1,161555589;0,950406732;0,99261669;FALSE
KLHL30;1,054899823;0,948835905;0,99261669;FALSE
SH3RF1;1,050123671;0,948330996;0,99261669;FALSE
FBXO7;0,886044972;0,946227209;0,99261669;FALSE
NEURL2;0,874148887;0,944656381;0,99261669;FALSE
LRSAM1;0,88636605;0,942776999;0,99261669;FALSE
NSMCE1;1,1069166;0,940617111;0,99261669;FALSE
KLHL18;0,960816322;0,939579243;0,99261669;FALSE
RNF146;1,271346837;0,937363254;0,99261669;FALSE
RFFL;1,148342851;0,936886396;0,99261669;FALSE
RNF145;1,012816672;0,934221599;0,99261669;FALSE
FBXL14;1,027051284;0,932089762;0,99261669;FALSE
SOCS7;0,993982263;0,9314446;0,99261669;FALSE
DTX3L;0,874561958;0,928611501;0,99261669;FALSE
SOCS4;0,799811297;0,925862553;0,99261669;FALSE
USPL1;1,127594676;0,922187938;0,99261669;FALSE
RNF180;0,991802301;0,908807854;0,983277693;FALSE
PIAS2;0,903552088;0,907265077;0,983100304;FALSE
TRIM31;0,827600192;0,90345021;0,980456621;FALSE
